ticker,empresa,setor,segmento_b3,tipo_acao
PETR4,Petrobras,Petróleo e Gás,Exploração Refino e Distribuição,Preferencial
VALE3,Vale,Mineração,Minerais Metálicos,Ordinária
ITUB4,Itaú Unibanco,Bancos,Bancos,Preferencial
WEGE3,WEG,Bens de Capital,Máquinas e Equipamentos,Ordinária
ABEV3,Ambev,Bebidas,Cervejas e Refrigerantes,Ordinária
